Word After Lemmatization,Parts of Speech Tag,Filtered Stop Words
smoothly,RB,smoothly
inform,JJ,inform
student,NN,students
Video,NNP,Video
conferencing,VBG,conferencing
chat,RB,chat
polling,VBG,polling
collaboration,NN,collaboration
tool,NN,tools
like,IN,like
document,NN,document
sharing,VBG,sharing
Miro,NNP,Miro
cause,NN,cause
work,NN,works
really,RB,really
good,JJ,good
graphically,RB,graphically
appealing,VBG,appealing
Google,NNP,Google
Suite,NNP,Suite
Miro,NNP,Miro
Mural,NNP,Mural
They,PRP,They
allow,VBP,allow
real,JJ,real
time,NN,time
update,JJ,updates
everyone,NN,everyone
see,VBP,see
everyone,NN,everyone
el,JJ,elses
update,JJ,updates
Jamboard,NNP,Jamboard
allows,VBZ,allows
even,RB,even
colloboration,JJ,colloboration
independence,NN,independence
student,NN,students
focused,VBD,focused
learning,JJ,learning
activity,NN,activities
Teams,NNP,Teams
sharepoint,NN,sharepoint
Zoom,NNP,Zoom
Miro,NNP,Miro
SAFe,NNP,SAFe
Collaboration,NNP,Collaboration
Google,NNP,Google
drive,NN,drive
help,NN,help
video,NN,video
audio,JJ,audio
conferencing,NN,conferencing
sharing,VBG,sharing
material,NN,material
exercise,NN,exercises
team,NN,teams
Webex,NNP,Webex
Chat,NNP,Chat
Polling,NNP,Polling
whiteboard,NN,whiteboard
Audio,NNP,Audio
conferencing,NN,conferencing
Document,NNP,Document
sharing,VBG,sharing
Polling,VBG,Polling
Breakout,NNP,Breakout
room,NN,rooms
Closed,VBD,Closed
captioning,VBG,captioning
Drawing,VBG,Drawing
real,JJ,real
time,NN,time
Video,NNP,Video
conference,NN,conference
All,NNP,All
tool,NN,tools
help,NN,help
u,JJ,us
conduct,NN,conduct
engaging,VBG,engaging
learning,VBG,learning
experience,NN,experience
Zoom,NNP,Zoom
sharepoint,NN,sharepoint
confluence,NN,confluence
available,JJ,available
company,NN,company
Maybe,RB,Maybe
Miro,NNP,Miro
allow,VB,allow
real,JJ,real
time,NN,time
white,JJ,white
boarding,NN,boarding
Zoom,NNP,Zoom
Google,NNP,Google
Classroom,NNP,Classroom
Mural,NNP,Mural
MS,NNP,MS
Teams,NNP,Teams
Zoom,NNP,Zoom
Useful,NNP,Useful
Zoom,NNP,Zoom
great,JJ,great
break,NN,break
room,NN,room
facility,NN,facilities
polling,VBG,polling
possibility,NN,possibilities
1,CD,1
SAFe,NNP,SAFe
Collaborate,NNP,Collaborate
I,PRP,I
find,VBP,find
suitable,JJ,suitable
teach,NN,teach
SAFe,NNP,SAFe
course,NN,course
b,VBD,b
Our,PRP$,Our
organization,NN,organization
approved,VBD,approved
internal,JJ,internal
tool,NN,tools
supplement,NN,supplement
SAFe,NNP,SAFe
collaborate,NN,collaborate
tool,NN,tool
zoom,NN,zoom
helpful,JJ,helpful
attention,NN,attention
miro,NN,miro
zoom,NN,zoom
WebEx,NNP,WebEx
Training,NNP,Training
Center,NNP,Center
SharePoint,NNP,SharePoint
approved,VBD,approved
company,NN,company
Teams,NNP,Teams
Have,VBP,Have
using,VBG,using
Teams,NNP,Teams
tool,NN,tool
available,JJ,available
parking,NN,parking
lot,NN,lot
ie,JJ,ie
jamboard,NN,jamboard
poll,NN,polls
Vote,NNP,Vote
confidence,NN,confidence
SAFe,NNP,SAFe
collaborate,NN,collaborate
I,PRP,I
love,VBP,love
Shared,VBN,Shared
word,NN,word
powerpoints,NNS,powerpoints
etc,VBP,etc
Keeps,NNP,Keeps
folk,NN,folks
focused,VBD,focused
learning,VBG,learning
together,RB,together
MS,NNP,MS
Teams,NNP,Teams
Zoom,NNP,Zoom
MS,NNP,MS
Teams,NNP,Teams
Approved,NNP,Approved
method,POS,method
communication,NN,communication
organization,NN,organization
SAFe,NNP,SAFe
Collaborate,NNP,Collaborate
Approved,NNP,Approved
method,VBD,method
teaching,VBG,teaching
activity,NN,activities
Zoom,NNP,Zoom
The,DT,The
breakout,NN,breakout
functionality,NN,functionality
host,NN,host
co,NN,co
host,NN,host
ability,NN,abilities
seem,VBP,seem
best,JJS,best
market,NN,market
today,NN,today
MS,NNP,MS
Teams,NNP,Teams
company,NN,company
prefers,NNS,prefers
Pooling,VBG,Pooling
chat,NN,chat
breakout,NN,breakout
room,NN,rooms
Miro,NNP,Miro
board,NN,boards
work,NN,work
perfectly,RB,perfectly
Kahoot,NNP,Kahoot
test,JJS,test
question,NN,question
last,JJ,last
heard,NN,heard
chapter,NN,chapter
great,JJ,great
wrap,JJ,wrap
Mural,NNP,Mural
co,NN,co
allows,VBZ,allows
much,RB,much
synchronous,JJ,synchronous
tool,NN,tools
needed,VBD,needed
virtual,JJ,virtual
whiteboard,NN,whiteboard
timer,NN,timer
function,NN,functions
polling,VBG,polling
function,NN,function
facilitator,NN,facilitator
control,NN,control
viewable,JJ,viewable
area,NN,area
ability,NN,ability
see,VBP,see
person,NN,person
addition,NN,addition
history,NN,history
activity,NN,activity
Other,JJ,Other
tool,NN,tools
team,NN,teams
chat,WP,chats
video,VBZ,video
conferencing,VBG,conferencing
breakout,RP,breakout
room,NN,rooms
Zoom,NNP,Zoom
present,JJ,present
class,NN,class
material,NN,material
see,VBP,see
student,NN,students
encourage,VB,encourage
question,NN,questions
via,IN,via
chat,NN,chat
facilitate,VBP,facilitate
breakout,NN,breakout
session,NN,sessions
within,IN,within
one,CD,one
tool,NN,tool
Mural,NNP,Mural
exercise,NN,exercises
done,VBN,done
persistent,JJ,persistent
tool,NN,tool
student,NN,students
able,JJ,able
go,VB,go
back,RB,back
look,NN,look
others,NNS,others
done,VBN,done
previously,RB,previously
like,IN,like
big,JJ,big
white,JJ,white
board,NN,boards
used,VBN,used
physical,JJ,physical
class,NN,classes
past,IN,past
We,PRP,We
really,RB,really
use,VBP,use
collaboration,NN,collaboration
beyond,IN,beyond
MS,NNP,MS
Teams,NNP,Teams
learner,VBP,learners
Department,NNP,Department
Defense,NNP,Defense
try,VB,try
keep,VB,keep
much,JJ,much
possible,JJ,possible
within,IN,within
Teams,NNP,Teams
environment,NN,environment
experience,NN,experience
technical,JJ,technical
issue,NN,issues
cause,NN,cause
DoD,NNP,DoD
security,NN,security
We,PRP,We
use,VBP,use
something,NN,something
similar,JJ,similar
Remote,NNP,Remote
Activities,NNP,Activities
Documents,NNP,Documents
PowerPoint,NNP,PowerPoint
break,NN,break
room,NN,room
facilitator,NN,facilitators
driving,VBG,driving
learner,NN,learners
activity,NN,activity
Klaxoon,NNP,Klaxoon
Google,NNP,Google
Meet,NNP,Meet
Google,NNP,Google
doc,VBZ,docs
tool,NN,tools
I,PRP,I
know,VBP,know
already,RB,already
experienced,VBN,experienced
Scrum,NNP,Scrum
remote,JJ,remote
class,NN,class
Chat,NNP,Chat
Documentation,NNP,Documentation
repository,NN,repository
polling,VBG,polling
MS,NNP,MS
Teams,NNP,Teams
client,NN,client
Microsoft,NNP,Microsoft
shop,NN,shop
allow,NN,allow
tool,NN,tools
due,JJ,due
security,NN,security
concern,NN,concerns
We,PRP,We
also,RB,also
used,VBD,used
zoom,NNP,zoom
corp,NN,corp
employee,NN,employees
Teams,NNP,Teams
better,JJR,better
overall,JJ,overall
flexibility,NN,flexibility
come,VBP,comes
breakout,IN,breakout
room,NN,rooms
MS,NNP,MS
Teams,NNP,Teams
organization,NN,organization
us,PRP,uses
MS,NNP,MS
Teams,NNP,Teams
Shared,NNP,Shared
Document,NNP,Document
repository,NN,repository
polling,VBG,polling
chat,WP,chat
hand,NN,hand
raising,VBG,raising
Polling,NNP,Polling
Ask,NNP,Ask
question,NN,question
everyone,NN,everyone
answer,NN,answers
ZoomGov,NNP,ZoomGov
conferencing,VBG,conferencing
breakout,NN,breakouts
GoogleDocs,NNP,GoogleDocs
collaboration,NN,collaboration
document,NN,document
sharing,VBG,sharing
Mural,NNP,Mural
whiteboarding,VBG,whiteboarding
I,PRP,I
MS,NNP,MS
team,NN,teams
office,NN,office
365,CD,365
suite,JJ,suite
product,NN,products
real,JJ,real
time,NN,time
collaboration,NN,collaboration
capability,NN,capabilities
Video,NNP,Video
conferencing,VBG,conferencing
visualise,RB,visualise
white,JJ,white
board,NN,board
flip,NN,flip
chart,VBP,chart
paper,NN,paper
viewable,JJ,viewable
webcam,NN,webcam
Audio,NNP,Audio
chatboxes,NNS,chatboxes
speech,RB,speech
converted,VBD,converted
text,JJ,text
poll,NN,polls
Polling,NNP,Polling
quick,JJ,quick
way,NN,way
feedback,NN,feedback
learning,VBG,learning
Video,NNP,Video
help,NN,helps
see,VB,see
smile,JJ,smile
talk,NN,talk
IM,NNP,IM
help,NN,helps
student,NN,students
self,VB,self
support,NN,support
informal,JJ,informal
slack,NN,slack
channel,NN,channels
drawing,VBG,drawing
I,PRP,I
used,VBD,used
Webex,NNP,Webex
Training,NNP,Training
module,NN,module
I,PRP,I
interested,JJ,interested
collaborate,NN,collaborate
I,PRP,I
definitely,RB,definitely
think,VBP,think
sort,NN,sort
shared,VBN,shared
whiteboard,RB,whiteboard
great,JJ,great
thing,NN,thing
MS,NNP,MS
team,NN,teams
due,JJ,due
widelay,NN,widelay
spread,NN,spread
availability,NN,availability
Iobeya,NNP,Iobeya
safe,JJ,safe
collaborate,NN,collaborate
free,JJ,free
easy,JJ,easy
use,NN,use
enable,JJ,enable
participant,NN,participants
Audio,NNP,Audio
conferencing,NN,conferencing
Closed,VBD,Closed
captioning,VBG,captioning
Breakout,NNP,Breakout
room,NN,rooms
Drawing,VBG,Drawing
real,JJ,real
time,NN,time
Video,NNP,Video
conferencing,VBG,conferencing
video,NN,video
conf,NN,conf
chat,WP,chat
breakout,IN,breakout
room,NN,rooms
poll,NN,poll
docu,NN,docu
sharing,VBG,sharing
Mural,NNP,Mural
easy,JJ,easy
use,NN,use
reasonably,RB,reasonably
easy,JJ,easy
set,VBN,set
duplicate,NN,duplicate
chat,NNS,chat
polling,VBG,polling
document,NN,document
sharing,VBG,sharing
breakout,NN,breakout
room,NN,room
support,NN,support
learning,VBG,learning
improve,VB,improve
collaboration,NN,collaboration
Video,NNP,Video
conferencing,NN,conferencing
audio,NN,audio
conferencing,VBG,conferencing
polling,VBG,polling
document,NN,document
sharing,VBG,sharing
Collaborate,NNP,Collaborate
Mural,NNP,Mural
work,VB,work
together,RB,together
time,NN,time
see,VB,see
others,NNS,others
work,VB,work
come,VB,comes
presenting,VBG,presenting
class,NN,class
Webex,NNP,Webex
training,NN,training
I,PRP,I
license,VBP,license
work,NN,works
well,RB,well
It,PRP,It
allows,VBZ,allows
chat,RB,chat
polling,VBG,polling
breakout,RP,breakout
space,NN,spaces
pretty,RB,pretty
much,JJ,much
anything,NN,anything
I,PRP,I
might,MD,might
want,VB,want
need,NN,need
There,EX,There
point,VB,points
collaborate,NN,collaborate
make,VBP,makes
sense,NN,sense
Virtual,NNP,Virtual
whiteboard,NN,whiteboard
flipcharts,NNS,flipcharts
drawing,VBG,drawing
capability,NN,capabilities
document,NN,document
sharing,VBG,sharing
ensure,VB,ensure
participant,JJ,participants
access,NN,access
knowledge,NN,knowledge
collaborative,JJ,collaborative
space,NN,spaces
person,NN,person
attendee,NN,attendee
would,MD,would
done,VBN,done
Chat,NNP,Chat
white,JJ,white
boarding,NN,boarding
document,NN,document
sharing,VBG,sharing
This,DT,This
creates,VBZ,creates
near,IN,near
room,NN,room
experince,NN,experince
possible,JJ,possible
build,JJ,builds
egagement,NN,egagement
SAFe,NNP,SAFe
Collaborate,NNP,Collaborate
Zoom,NNP,Zoom
Google,NNP,Google
Docs,NNP,Docs
mural,NN,mural
could,MD,could
collaboration,VB,collaboration
tool,NN,tool
participant,NN,participants
build,NN,build
artifact,JJ,artifacts
engage,NN,engage
activity,NN,activities
reinforce,NN,reinforce
learning,VBG,learning
safe,JJ,safe
collab,NN,collab
leaderboarz,NN,leaderboarz
webwhiteboards,NNS,webwhiteboards
included,VBD,included
whatever,WDT,whatever
tool,NN,tools
I,PRP,I
use,VBP,use
google,JJ,google
sheet,NN,sheets
jamboards,NNS,jamboards
sketch,VBP,sketch
pad,NN,pads
etc,FW,etc
etc,FW,etc
planningpoker,NN,planningpoker
com,NN,com
PDF,NNP,PDF
editor,NN,editor
old,JJ,old
collaborative,JJ,collaborative
tool,NN,tool
given,VBN,given
client,NN,client
Skype,NNP,Skype
Zoom,NNP,Zoom
available,JJ,available
Interested,NNP,Interested
learning,NN,learning
Microsoft,NNP,Microsoft
Teams,NNP,Teams
support,NN,support
Video,NNP,Video
conferencing,VBG,conferencing
breakout,NN,breakout
room,NN,rooms
document,NN,document
sharing,VBG,sharing
polling,VBG,polling
chat,WP,chat
chat,WP,chat
provides,VBZ,provides
near,IN,near
real,JJ,real
time,NN,time
interaction,NN,interaction
breakout,IN,breakout
room,NN,rooms
allow,VBP,allow
smaller,JJR,smaller
group,NN,groups
conversation,NN,conversations
parallel,RB,parallel
whiteboard,JJ,whiteboard
interactivity,NN,interactivity
chat,WP,chat
able,JJ,able
communicate,NN,communicate
ask,VB,ask
question,NN,questions
breakout,IN,breakout
room,NN,rooms
exercise,NN,exercises
discussion,NN,discussions
smaller,JJR,smaller
group,NN,groups
virtual,JJ,virtual
whiteboard,NN,whiteboard
work,NN,work
collobaratively,RB,collobaratively
Teams,NNP,Teams
miro,VBP,miro
team,NN,teams
Miro,NNP,Miro
I,PRP,I
great,JJ,great
experience,NN,experience
using,VBG,using
tool,NN,tool
I,PRP,I
guide,VBP,guide
student,NN,students
use,NN,use
It,PRP,It
allows,VBZ,allows
polling,VBG,polling
team,NN,team
exercise,NN,exercises
Document,NNP,Document
sharing,VBG,sharing
group,NN,group
activity,NN,activities
MS,NNP,MS
TEAMS,NNP,TEAMS
CONFLUENCE,NNP,CONFLUENCE
shared,VBD,shared
file,NN,file
location,NN,location
jamboard,NN,jamboard
whiteboard,IN,whiteboard
mural,JJ,mural
miro,NN,miro
interact,JJ,interact
real,JJ,real
time,NN,time
WebEx,NNP,WebEx
Mural,NNP,Mural
Corporate,NNP,Corporate
standard,NN,standards
choice,NN,choice
zoom,NN,zoom
SAFe,NNP,SAFe
collaboration,NN,collaboration
tool,NN,tools
Zoom,NNP,Zoom
good,JJ,good
breakout,NN,breakout
room,NN,room
functionality,NN,functionality
The,DT,The
collaboration,NN,collaboration
tool,NN,tools
agency,NN,agency
fantastic,JJ,fantastic
I,PRP,I
think,VBP,think
SAFe,JJ,SAFe
one,CD,ones
work,NN,work
better,RBR,better
A,DT,A
V,NNP,V
conferencing,VBG,conferencing
break,NN,break
capability,NN,capability
dial,JJ,dial
number,NN,numbers
back,RB,back
conferencing,VBG,conferencing
tool,NN,tool
fail,NN,fail
For,IN,For
exercise,NN,exercises
something,NN,something
like,IN,like
Mural,NNP,Mural
Miro,NNP,Miro
Collaborate,NNP,Collaborate
excellent,JJ,excellent
whole,JJ,whole
group,NN,group
synchronized,VBD,synchronized
activity,NN,activity
Using,NNP,Using
mural,JJ,mural
best,JJS,best
easily,RB,easily
see,VB,see
instructor,NN,instructor
folk,NN,folks
working,VBG,working
mural,JJ,mural
navigate,JJ,navigate
easily,RB,easily
zoom,NN,zoom
observe,NN,observe
support,NN,support
class,NN,class
whole,JJ,whole
video,NN,video
telehone,NN,telehone
conferencing,VBG,conferencing
collaboration,NN,collaboration
plattforms,NNS,plattforms
sharepoint,VBP,sharepoint
miro,NNS,miro
like,IN,like
MS,NNP,MS
Teams,NNP,Teams
To,TO,To
make,VB,make
sure,JJ,sure
student,NN,students
learning,VBG,learning
virtual,JJ,virtual
classroom,NN,classroom
real,JJ,real
time,NN,time
together,RB,together
And,CC,And
student,NN,students
get,VBP,get
fast,JJ,fast
feedback,NN,feedback
gain,NN,gain
insight,JJ,insights
Zoom,NNP,Zoom
G,NNP,G
Suite,NNP,Suite
MS,NNP,MS
Teams,NNP,Teams
Sharepoint,NNP,Sharepoint
use,NN,use
O365,NNP,O365
Miro,NNP,Miro
awesome,VBP,awesome
I,PRP,I
lot,NN,lot
choice,NN,choice
company,NN,company
dictate,NN,dictates
use,NN,use
I,PRP,I
imagine,VBP,imagine
safe,JJ,safe
collaborate,NN,collaborate
good,JJ,good
go,NN,go
use,RB,use
Right,NNP,Right
use,NN,use
webex,NN,webex
microsoft,JJ,microsoft
whiteboard,IN,whiteboard
though,IN,though
I,PRP,I
heard,VBP,heard
tell,NN,tell
might,MD,might
get,VB,get
another,DT,another
robust,JJ,robust
collab,NN,collab
tool,NN,tool
soon,RB,soon
Microsoft,NNP,Microsoft
Teams,NNP,Teams
provides,VBZ,provides
presentation,NN,presentation
audio,NN,audio
video,NN,video
polling,VBG,polling
board,NN,board
chat,VBZ,chat
central,JJ,central
location,NN,location
exercise,NN,exercises
etc,NN,etc
Breakrooms,NNP,Breakrooms
simulated,VBD,simulated
Teams,NNP,Teams
channel,NNS,channel
Teams,NNP,Teams
Miro,NNP,Miro
previous,JJ,previous
expereince,NN,expereince
collaborating,VBG,collaborating
using,VBG,using
theem,JJ,theem
zoom,NN,zoom
team,NN,teams
video,NN,video
sharing,VBG,sharing
chat,WP,chat
function,NN,functions
Miro,NNP,Miro
mural,JJ,mural
exercise,NN,exercises
Alternatives,VBZ,Alternatives
partly,RB,partly
due,JJ,due
customer,NN,customer
tool,NN,tool
requirement,NN,requirements
MS,NNP,MS
Teams,NNP,Teams
familiar,JJ,familiar
within,IN,within
organisation,NN,organisation
robust,NN,robust
use,NN,use
zoom,NN,zoom
MS,NNP,MS
Teams,NNP,Teams
break,VBP,break
room,NN,rooms
capability,NN,capabilities
Collaborate,NNP,Collaborate
MS,NNP,MS
Teams,NNP,Teams
Webex,NNP,Webex
Teams,NNP,Teams
MIRO,NNP,MIRO
GOOGLE,NNP,GOOGLE
DOCS,NNP,DOCS
WEBEX,NNP,WEBEX
tool,NN,tools
enabling,VBG,enabling
digital,JJ,digital
classeroom,NN,classeroom
enable,JJ,enable
group,NN,group
activity,NN,activities
Collaborate,NNP,Collaborate
Teams,NNP,Teams
Whiteboard,NNP,Whiteboard
Video,NNP,Video
audio,JJ,audio
text,NN,text
chat,WP,chat
question,NN,questions
discussion,NN,discussions
feedback,NN,feedback
File,NNP,File
collaboration,NN,collaboration
tool,NN,tools
enhanced,VBD,enhanced
understanding,JJ,understanding
practice,NN,practices
exercise,NN,exercises
trainer,NN,trainer
work,NN,work
comment,NN,comment
student,NN,student
activity,NN,activities
Easy,NNP,Easy
instant,JJ,instant
access,NN,access
They,PRP,They
templetize,VBP,templetize
exercise,NN,exercises
Open,NNP,Open
everyone,NN,everyone
class,NN,class
MS,NNP,MS
Teams,NNP,Teams
MIcrosoft,NNP,MIcrosoft
365,CD,365
apps,NN,apps
OneDrive,NNP,OneDrive
WebEx,NNP,WebEx
chat,VBD,chat
The,DT,The
one,CD,one
company,NN,company
authorized,VBD,authorized
WebEx,NNP,WebEx
training,VBG,training
tool,NN,tool
We,PRP,We
used,VBD,used
roughly,RB,roughly
6,CD,6
7,CD,7
virtual,JJ,virtual
class,NN,classes
group,NN,group
run,VBP,run
far,RB,far
year,NN,year
video,NN,video
confrencing,VBG,confrencing
enhance,NN,enhance
visual,JJ,visual
auditory,NN,auditory
learning,VBG,learning
chat,WP,chat
poll,JJ,poll
caption,NN,captions
We,PRP,We
use,VBP,use
MS,NNP,MS
team,NN,teams
Slido,NNP,Slido
approved,VBD,approved
tool,JJ,tools
Video,NNP,Video
conferencing,VBG,conferencing
collaboration,NN,collaboration
space,NN,space
like,IN,like
Mural,NNP,Mural
chat,IN,chat
These,DT,These
three,CD,three
minimum,NN,minimum
simulate,NN,simulate
learning,NN,learning
environment,NN,environment
Chat,NNP,Chat
We,PRP,We
Zoom,NNP,Zoom
use,VBP,use
video,NN,video
see,NN,see
instructor,JJ,instructor
student,NN,students
We,PRP,We
share,NN,share
PPT,NNP,PPT
via,IN,via
zoom,NN,zoom
utilize,VB,utilize
chat,NN,chat
activity,NN,activity
team,NN,teams
zoom,NN,zoom
breakout,IN,breakout
room,NN,room
support,NN,support
Teams,NNP,Teams
everyone,NN,everyone
access,NN,access
tool,NN,tools
Teams,NNP,Teams
lot,NN,lot
need,VBP,need
research,NN,research
We,PRP,We
used,VBD,used
Google,NNP,Google
Suite,NNP,Suite
past,IN,past
new,JJ,new
tool,NN,tool
SAFe,NNP,SAFe
definitely,RB,definitely
something,NN,something
I,PRP,I
going,VBG,going
investigate,JJ,investigate
Miro,NNP,Miro
aid,NN,aid
group,NN,group
activity,NN,activities
breakout,IN,breakout
room,NN,rooms
MS,NNP,MS
Teams,NNP,Teams
conferencing,VBG,conferencing
breakout,NN,breakout
room,NN,rooms
chat,DT,chat
presentation,NN,presentation
class,NN,class
well,RB,well
raising,VBG,raising
hand,NN,hand
functionality,NN,functionality
Zoom,NNP,Zoom
chat,NN,chat
transperancy,NN,transperancy
included,VBD,included
single,JJ,single
platform,NN,platform
We,PRP,We
also,RB,also
using,VBG,using
Google,NNP,Google
doc,JJ,docs
support,NN,support
group,NN,group
collaboration,NN,collaboration
video,NN,video
conference,NN,conference
chat,RB,chat
More,RBR,More
closely,RB,closely
facilitates,VBZ,facilitates
person,NN,person
class,NN,class
encourages,VBZ,encourages
engagement,JJ,engagement
shared,VBN,shared
folder,NN,folders
poll,NN,polls
SharePoint,NNP,SharePoint
Webex,NNP,Webex
webex,NN,webex
Collaborate,NNP,Collaborate
Sharepoint,NNP,Sharepoint
used,VBD,used
member,NN,members
breakout,NN,breakout
session,NN,session
group,NN,group
collaborate,VBP,collaborate
together,RB,together
real,JJ,real
turn,NN,turn
group,NN,group
powerpoint,NN,powerpoint
file,NN,files
Additionally,NNP,Additionally
Q,NNP,Q
A,NNP,A
PollEverywhere,NNP,PollEverywhere
poll,NN,poll
used,VBN,used
Parking,NNP,Parking
Lot,NNP,Lot
student,NN,students
post,NN,post
question,NN,questions
follow,VBP,follow
topic,NN,topics
student,NN,students
vote,NN,vote
topic,VBD,topics
particularly,RB,particularly
interested,JJ,interested
zoom,NN,zoom
collaborate,NN,collaborate
SAFe,NNP,SAFe
Miro,NNP,Miro
Mural,NNP,Mural
etc,FW,etc
one,CD,one
help,NN,helps
teach,VB,teach
show,NN,show
course,NN,course
content,NN,content
activity,NN,activities
team,NN,team
Unfortunately,RB,Unfortunately
use,VBP,use
Google,NNP,Google
Docs,NNP,Docs
since,IN,since
allowed,VBN,allowed
company,NN,company
Therefore,RB,Therefore
use,JJ,use
WebEx,NNP,WebEx
training,NN,training
partnership,NN,partnership
Scale,NNP,Scale
Agile,NNP,Agile
tool,NN,tool
Zoom,NNP,Zoom
MS,NNP,MS
Teams,NNP,Teams
Miro,NNP,Miro
Chat,NNP,Chat
audio,VBZ,audio
Zoom,NNP,Zoom
Organizational,NNP,Organizational
tool,NN,tool
private,JJ,private
class,NN,class
offering,NN,offerings
Zooms,NNP,Zooms
Google,NNP,Google
meet,NN,meet
Zoom,NNP,Zoom
Have,NNP,Have
breakout,NN,breakout
room,NN,rooms
share,NN,share
document,JJ,documents
video,NN,video
capability,NN,capabilities
whiteboard,NN,whiteboard
application,NN,application
MS,NNP,MS
Teams,NNP,Teams
recommended,VBD,recommended
firm,JJ,firm
functionality,NN,functionality
becomes,RB,becomes
better,RB,better
every,DT,every
month,NN,month
like,IN,like
large,JJ,large
gallery,NN,gallery
view,NN,view
chat,WP,chat
gifs,VBZ,gifs
sticker,NN,stickers
break,NN,break
channel,NN,channels
Zoom,NNP,Zoom
Microsoft,NNP,Microsoft
Teams,NNP,Teams
Zoom,NNP,Zoom
video,NN,video
audio,NN,audio
poll,NN,polls
breakout,IN,breakouts
Microsoft,NNP,Microsoft
Teams,NNP,Teams
document,NN,document
storage,NN,storage
classroom,NN,classroom
collaboration,NN,collaboration
dont,NN,dont
understand,JJ,understand
question,NN,question
Cisco,NNP,Cisco
Webex,NNP,Webex
mandated,VBD,mandated
organisation,NN,organisation
zoom,NN,zoom
easy,JJ,easy
use,NN,use
breakout,IN,breakout
session,NN,sessions
poll,NN,poll
sharing,VBG,sharing
document,NN,documents
Zoom,NNP,Zoom
Confluence,NNP,Confluence
etc,FW,etc
Chat,NNP,Chat
provides,VBZ,provides
way,NN,way
learner,RBR,learners
quickly,RB,quickly
engage,VB,engage
Whiteboard,NNP,Whiteboard
allows,VBZ,allows
u,JJ,us
collaborate,NN,collaborate
together,RB,together
Video,NNP,Video
help,NN,help
learner,NN,learners
engage,VB,engage
Google,NNP,Google
doc,NN,docs
ensure,VB,ensure
participant,JJ,participants
relevant,JJ,relevant
info,NN,info
tool,NN,tools
exercise,NN,exercises
tool,NN,tools
like,IN,like
Mural,NNP,Mural
Miro,NNP,Miro
allow,VB,allow
breakout,NN,breakout
room,NN,room
activity,NN,activities
Currently,NNP,Currently
using,VBG,using
Google,NNP,Google
drive,NN,drive
Google,NNP,Google
slide,NN,slide
spreadsheet,VBD,spreadsheet
The,DT,The
connection,NN,connection
smooth,FW,smooth
need,VBP,need
ID,NNP,ID
login,VB,login
student,NN,students
know,FW,know
link,VBP,link
Zoom,NNP,Zoom
Teams,NNP,Teams
using,VBG,using
year,NN,year
delivering,VBG,delivering
virtual,JJ,virtual
training,NN,trainings
zoom,NN,zoom
stable,JJ,stable
large,JJ,large
scale,NN,scale
Microsoft,NNP,Microsoft
Teams,NNP,Teams
ZOOM,NNP,ZOOM
Mural,NNP,Mural
poll,NN,polls
test,NN,test
knowledge,NN,knowledge
provide,IN,provide
fast,JJ,fast
feedback,NN,feedback
keep,NN,keep
learner,NN,learners
engaged,VBD,engaged
breakout,NN,breakout
room,NN,rooms
support,NN,support
video,NN,video
visual,JJ,visual
clue,NN,clues
learner,RBR,learner
engagement,JJ,engagement
richer,JJR,richer
experience,NN,experience
zoom,NN,zoom
SAFe,NNP,SAFe
collaboration,NN,collaboration
tool,NN,tool
safe,JJ,safe
collaborate,NN,collaborate
Google,NNP,Google
doc,NN,docs
document,NN,document
sharing,VBG,sharing
At,IN,At
company,NN,company
I,PRP,I
work,VBP,work
Teams,NNS,Teams
used,VBN,used
along,IN,along
Sharepoint,NNP,Sharepoint
These,DT,These
tool,NN,tools
allow,VBP,allow
chat,RB,chat
polling,VBG,polling
survey,NN,surveys
test,NN,test
presentation,NN,presentation
breakout,IN,breakout
room,NN,room
functionallity,NN,functionallity
Mural,NNP,Mural
group,NN,groups
work,NN,work
space,NN,space
easy,JJ,easy
debrief,NN,debrief
group,NN,groups
showing,VBG,showing
work,NN,work
Breakoutrooms,NNP,Breakoutrooms
whiteboards,IN,whiteboards
We,PRP,We
use,VBP,use
WebEx,JJ,WebEx
Training,NNP,Training
company,NN,company
pay,NN,pays
I,PRP,I
interested,VBD,interested
trying,VBG,trying
SAFe,NNP,SAFe
Collaborate,NNP,Collaborate
tool,NN,tool
however,RB,however
industry,NN,industry
wide,JJ,wide
applicability,NN,applicability
opportunity,NN,opportunity
align,NN,align
principle,NN,principles
framework,NN,framework
technique,NN,techniques
matter,NN,matter
using,VBG,using
I,PRP,I
also,RB,also
like,VBP,like
idea,NN,idea
SAI,NNP,SAI
able,JJ,able
monitor,NN,monitor
people,NNS,people
conduct,VBP,conduct
ARTs,NNP,ARTs
real,JJ,real
value,NN,value
stream,NN,streams
see,VBP,see
company,NN,companies
struggling,VBG,struggling
I,PRP,I
use,VBP,use
combination,NN,combination
Miro,NNP,Miro
flexible,JJ,flexible
allows,NNS,allows
draw,VBP,draw
live,JJ,live
MsTeams,NNP,MsTeams
whitelisted,VBD,whitelisted
company,NN,company
people,NNS,people
familiar,JJ,familiar
tool,JJ,tool
hence,NN,hence
I,PRP,I
introducing,VBG,introducing
one,CD,one
new,JJ,new
tool,NN,tool
Breakout,NNP,Breakout
room,NN,rooms
simulated,VBD,simulated
almost,RB,almost
video,JJ,video
conferencing,VBG,conferencing
tool,NN,tools
creating,VBG,creating
multiple,JJ,multiple
