Word After Lemmatization,Parts of Speech Tag,Filtered Stop Words
Have,NNP,Have
yet,RB,yet
used,VBN,used
PI,NNP,PI
Planning,NNP,Planning
Simulation,NNP,Simulation
remote,VBP,remote
class,NN,class
yet,RB,yet
I,PRP,I
think,VBP,think
activity,NN,activity
template,NN,template
help,NN,help
student,NN,students
keep,VB,keep
track,NN,track
everything,NN,everything
safe,JJ,safe
collaborate,NN,collaborate
tried,VBD,tried
yet,RB,yet
LPM,NNP,LPM
engage,NN,engage
group,NN,group
company,NN,company
Personas,NNP,Personas
PI,NNP,PI
planning,VBG,planning
much,JJ,much
question,NN,questions
The,DT,The
big,JJ,big
batch,NN,batch
v,NN,vs
small,JJ,small
batch,NN,batch
Values,NNP,Values
principle,NN,principles
Penny,NNP,Penny
Game,NNP,Game
PI,NNP,PI
Planning,NNP,Planning
simulation,NN,simulation
Done,NNP,Done
already,RB,already
many,JJ,many
time,NN,times
real,JJ,real
excitement,NN,excitement
anymore,RB,anymore
How,NNP,How
use,NN,use
SAFe,NNP,SAFe
remotely,RB,remotely
distributed,VBD,distributed
team,NN,teams
teach,NN,teach
class,NN,class
tool,NN,tools
company,NN,company
us,PRP,uses
remote,VBP,remote
team,JJ,teams
Competencies,NNP,Competencies
principle,NN,principles
Hopefully,NNP,Hopefully
attending,VBG,attending
understand,RB,understand
planning,VBG,planning
thing,NN,things
I,PRP,I
looking,VBG,looking
forward,RB,forward
playing,VBG,playing
Collaborate,NNP,Collaborate
replicability,NN,replicability
table,NN,table
group,NN,group
great,JJ,great
tip,NN,tip
included,VBD,included
material,NN,materials
I,PRP,I
also,RB,also
like,VBP,like
way,NN,way
engage,VB,engage
le,JJ,less
vocal,JJ,vocal
introverted,VBD,introverted
learner,NN,learners
using,VBG,using
board,NN,boards
enabling,VBG,enabling
digital,JJ,digital
comms,NN,comms
classroom,NN,classroom
setting,VBG,settings
make,VBP,make
daunting,VBG,daunting
participant,NN,participants
enjoy,NN,enjoy
le,NN,less
extroverted,VBD,extroverted
engagement,NN,engagement
There,EX,There
none,NN,none
Remote,NNP,Remote
class,NN,classes
ideal,NN,ideal
get,VB,get
many,JJ,many
person,NN,persons
attend,VBP,attend
SAFe,NNP,SAFe
training,NN,trainings
No,NNP,No
traveling,VBG,traveling
cost,NN,costs
extra,JJ,extra
expense,JJ,expenses
Half,NNP,Half
day,NN,day
instead,RB,instead
one,CD,one
day,NN,day
Many,JJ,Many
people,NNS,people
prefer,VBP,prefer
remote,JJ,remote
training,NN,training
premise,NN,premise
training,NN,trainings
We,PRP,We
keep,VBP,keep
offering,VBG,offering
remote,NN,remote
training,VBG,trainings
even,RB,even
COVID,NNP,COVID
Collaborate,NNP,Collaborate
usage,JJ,usage
class,NN,class
Collaboration,NNP,Collaboration
tool,NN,tool
activity,NN,activities
exciting,JJ,exciting
feature,NN,features
Will,NNP,Will
running,VBG,running
class,NN,classes
SAFe,NNP,SAFe
Agilist,NNP,Agilist
POPM,NNP,POPM
Scrum,NNP,Scrum
Master,NNP,Master
Would,NNP,Would
interested,JJ,interested
see,VBP,see
student,JJ,students
experience,NN,experience
coin,NN,coin
game,NN,game
one,CD,one
impactful,NN,impactful
activity,NN,activity
fun,VBP,fun
gain,NN,gain
knowledge,NN,knowledge
PI,NNP,PI
Planning,NNP,Planning
Penny,NNP,Penny
Game,NNP,Game
worked,VBD,worked
well,RB,well
remote,JJ,remote
environment,NN,environment
PI,NNP,PI
Planning,NNP,Planning
Right,NNP,Right
favorite,NN,favorite
POPM,NNP,POPM
I,PRP,I
tried,VBD,tried
using,VBG,using
collaborate,NN,collaborate
tool,NN,tools
hopefully,RB,hopefully
even,RB,even
improve,VB,improve
class,NN,class
experience,NN,experience
PI,NNP,PI
Planning,NNP,Planning
A,NNP,A
program,NN,program
board,NN,board
making,VBG,making
exercise,VBP,exercise
The,DT,The
coin,NN,coin
activity,NN,activity
April,NNP,April
show,VBP,show
video,JJ,video
instead,RB,instead
quickly,RB,quickly
switch,VB,switch
remote,NN,remote
delilvery,NN,delilvery
Customer,NNP,Customer
centricity,NN,centricity
really,RB,really
important,JJ,important
part,NN,part
newer,IN,newer
thing,NN,things
SAFe,NNP,SAFe
something,NN,something
many,JJ,many
company,NN,companies
struggle,VBD,struggle
A,DT,A
good,JJ,good
remote,NN,remote
learning,VBG,learning
environment,NN,environment
help,NN,helps
increasing,VBG,increasing
interactivity,JJ,interactivity
participation,NN,participation
rate,NN,rate
The,DT,The
remote,JJ,remote
PI,NNP,PI
planning,NN,planning
part,NN,part
leading,VBG,leading
safe,JJ,safe
something,NN,something
company,NN,company
wanted,VBD,wanted
PI,NNP,PI
planning,VBG,planning
APM,NNP,APM
empathy,JJ,empathy
mapping,VBG,mapping
The,DT,The
collaboration,NN,collaboration
tool,NN,tool
I,PRP,I
think,VBP,think
help,VB,help
engaging,VBG,engaging
class,NN,class
I,PRP,I
would,MD,would
like,VB,like
test,NN,test
remote,NN,remote
training,NN,training
aid,NN,aids
tool,NN,tools
espacially,RB,espacially
PPT,NNP,PPT
exercices,NNS,exercices
skewer,VBP,skewers
PI,NNP,PI
planning,VBG,planning
simulation,NN,simulation
hopefully,RB,hopefully
well,RB,well
received,VBN,received
engaging,VBG,engaging
person,NN,person
version,NN,version
I,PRP,I
used,VBD,used
similar,JJ,similar
setup,NN,setup
run,VB,run
remote,JJ,remote
PI,NNP,PI
planning,NN,planning
tool,NN,tool
available,JJ,available
went,VBD,went
well,RB,well
Collaborate,NNP,Collaborate
tool,NN,tools
We,PRP,We
use,VBP,use
MS,NNP,MS
Teams,NNP,Teams
Office,NNP,Office
365,CD,365
collaboration,NN,collaboration
tool,NN,tools
WebEx,NNP,WebEx
breakout,IN,breakout
room,NN,rooms
I,PRP,I
typically,RB,typically
use,VBP,use
kanban,JJ,kanban
keep,JJ,keep
student,NN,students
sync,NN,sync
lesson,NN,lesson
pptx,JJ,pptx
remote,NN,remote
group,NN,group
aid,NN,aid
exercise,NN,exercises
We,PRP,We
keep,VBP,keep
parking,VBG,parking
lot,NN,lot
work,NN,work
daily,RB,daily
We,PRP,We
start,VBP,start
day,NN,day
short,JJ,short
review,NN,review
pop,NN,pop
quiz,NN,quiz
style,NN,style
previous,JJ,previous
material,NN,material
We,PRP,We
rely,VBP,rely
PI,JJ,PI
Planning,NNP,Planning
Simulation,NNP,Simulation
stated,VBD,stated
pre,JJ,pre
introduce,JJ,introduce
tool,NN,tool
day,NN,day
prior,RB,prior
good,JJ,good
result,NN,results
THe,NNP,THe
interesting,VBG,interesting
one,CD,one
PI,NNP,PI
planning,VBG,planning
simulation,NN,simulations
We,PRP,We
done,VBN,done
SM,NNP,SM
PO,NNP,PO
RTE,NNP,RTE
training,NN,trainings
remotely,RB,remotely
year,NN,year
definitely,RB,definitely
challenge,VBP,challenge
team,JJ,teams
access,NN,access
Architect,NNP,Architect
PM,NNP,PM
RTE,NNP,RTE
played,VBD,played
u,JJ,us
instructor,NN,instructors
WE,NNP,WE
tried,VBD,tried
float,JJ,float
access,NN,access
break,NN,break
group,NN,groups
accessibility,NN,accessibility
seems,VBZ,seems
like,IN,like
might,MD,might
better,VB,better
member,NN,members
exit,NN,exit
main,JJ,main
room,NN,room
RTE,NNP,RTE
call,VB,call
one,CD,one
SMEs,NNP,SMEs
enter,NN,enter
break,NN,break
team,NN,team
room,NN,room
Definitely,NNP,Definitely
way,NN,way
challenging,VBG,challenging
virtual,JJ,virtual
setting,VBG,setting
collaborate,NN,collaborate
tooling,VBG,tooling
cool,NN,cool
I,PRP,I
using,VBG,using
MS,NNP,MS
Teams,NNP,Teams
Zoom,NNP,Zoom
G,NNP,G
Docs,NNP,Docs
I,PRP,I
like,VBP,like
remote,JJ,remote
PI,NNP,PI
planning,NN,planning
We,PRP,We
success,NN,success
deeper,RBR,deeper
dive,JJ,dive
upfront,NN,upfront
I,PRP,I
excited,VBD,excited
using,VBG,using
technique,NN,techniques
improving,VBG,improving
briefing,VBG,briefings
engaging,VBG,engaging
people,NNS,people
ensure,VB,ensure
learning,VBG,learning
The,DT,The
Simulation,NN,Simulation
We,PRP,We
clunky,VBP,clunky
workaround,JJ,workaround
Common,NNP,Common
topic,NN,topics
I,PRP,I
excited,VBD,excited
use,NN,use
remote,JJ,remote
training,NN,training
penny,JJ,penny
game,NN,game
I,PRP,I
think,VBP,think
enjoy,JJ,enjoy
watching,VBG,watching
video,NN,videos
n,FW,n
person,NN,person
safe,JJ,safe
collaborate,NN,collaborate
exercise,NN,exercises
online,NN,online
good,JJ,good
learning,NN,learnings
Leading,VBG,Leading
SAFe,NNP,SAFe
The,DT,The
PI,NNP,PI
Planning,NNP,Planning
Simulation,NNP,Simulation
challenging,VBG,challenging
exercise,NN,exercises
remotely,RB,remotely
It,PRP,It
went,VBD,went
okay,IN,okay
however,RB,however
I,PRP,I
interested,JJ,interested
try,NN,try
using,VBG,using
SAFe,NNP,SAFe
collaborate,NN,collaborate
next,JJ,next
time,NN,time
SAFe,NNP,SAFe
Collaborate,NNP,Collaborate
tool,NN,tool
Outcome,NNP,Outcome
trained,VBD,trained
SAFe,NNP,SAFe
colleague,NN,colleagues
understand,NN,understand
use,NN,use
Collaborate,NNP,Collaborate
future,NN,future
SAFe,NNP,SAFe
event,NN,events
The,DT,The
updated,VBN,updated
version,NN,version
accelerated,VBN,accelerated
value,NN,value
nice,NN,nice
I,PRP,I
looking,VBG,looking
forward,RB,forward
using,VBG,using
Remote,NNP,Remote
Training,NNP,Training
Aids,NNP,Aids
increased,VBD,increased
engagement,JJ,engagement
activity,NN,activities
Polling,NNP,Polling
option,NN,option
get,NN,get
fast,JJ,fast
feedback,NN,feedback
SAFe,NNP,SAFe
collaborate,NN,collaborate
Backlog,NNP,Backlog
item,NN,item
creation,NN,creation
hierarchy,NN,hierarchy
I,PRP,I
excited,VBD,excited
see,VB,see
large,JJ,large
small,JJ,small
batch,NN,batch
penny,NN,penny
exercise,NN,exercise
multiple,NN,multiple
editor,NN,editors
juggling,VBG,juggling
coin,NN,coins
I,PRP,I
think,VBP,think
fun,JJ,fun
example,NN,example
digitally,RB,digitally
competing,VBG,competing
worker,NN,workers
since,IN,since
using,VBG,using
digital,JJ,digital
tool,NN,tools
real,JJ,real
work,NN,work
environment,NN,environment
I,PRP,I
really,RB,really
like,IN,like
SAFe,NNP,SAFe
collaborate,NN,collaborate
pre,NN,pre
loaded,VBD,loaded
template,NN,templates
also,RB,also
site,NN,site
welcome,JJ,welcomes
participant,JJ,participants
different,JJ,different
activity,NN,activities
course,NN,course
Some,DT,Some
template,NN,templates
Leading,VBG,Leading
SAFe,NNP,SAFe
next,JJ,next
course,NN,course
I,PRP,I
going,VBG,going
provide,IN,provide
Leading,VBG,Leading
Safe,JJ,Safe
SAFE,NNP,SAFE
Collaborate,NNP,Collaborate
Teams,NNP,Teams
excited,VBD,excited
Collaborate,NNP,Collaborate
interesting,VBG,interesting
see,NN,see
work,NN,work
team,NN,teams
I,PRP,I
usen,VBP,usen
Mural,JJ,Mural
vann,JJ,vann
diagram,NN,diagram
activity,NN,activities
scrum,VBP,scrum
master,NN,master
It,PRP,It
really,RB,really
worked,VBD,worked
great,JJ,great
better,JJR,better
class,NN,class
flip,NN,flip
Using,NNP,Using
SAFe,NNP,SAFe
Collaborate,NNP,Collaborate
site,NN,site
give,NN,give
SAFe,NNP,SAFe
specific,JJ,specific
collaboration,NN,collaboration
portal,NN,portal
learning,VBG,learning
enabling,VBG,enabling
student,NN,students
talk,NN,talk
even,RB,even
class,NN,class
done,VBN,done
keep,VB,keep
exploring,VBG,exploring
RTE,NNP,RTE
training,VBG,training
Looking,VBG,Looking
forward,RB,forward
using,VBG,using
Collaborate,NNP,Collaborate
PI,NNP,PI
Planning,NNP,Planning
simulation,NN,simulation
getting,VBG,getting
use,NN,use
live,JJ,live
train,NN,train
vortual,JJ,vortual
